Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_028963	15728	Rat arterivirus 1 isolate Jilin2014	Rat arterivirus 1 isolate Jilin2014, complete genome.
NC_032987	15099	Rat arterivirus 1 isolate Ningxia2015 ORF1ab polyprotein	Rat arterivirus 1 isolate Ningxia2015 ORF1ab polyprotein, ORF1a polyprotein, E, GP2, GP3, GP4, ORF5a, GP5, M, and N genes, complete cds.
NC_007571	1063	Rotavirus C	Rotavirus C, segment 8
NC_013023	2162	Circovirus-like genome RW-A	Circovirus-like genome RW-A, complete genome.
NC_013465	2807	Sweet potato leaf curl Canary virus	Sweet potato leaf curl Canary virus, complete genome.
NC_001664	159378	Human betaherpesvirus 6A	Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102.
NC_028237	14494	Alfalfa dwarf virus isolate Manfredi	Alfalfa dwarf virus isolate Manfredi, complete genome.
NC_031068	44268	Pectobacterium phage PP16	Pectobacterium phage PP16, complete genome.
NC_009552	40863	Geobacillus virus E2	Geobacillus virus E2, complete genome.
NC_006213	30741	Human coronavirus OC43 strain ATCC VR-759	Human coronavirus OC43 strain ATCC VR-759, complete genome.
NC_011545	6310	Penaeus monodon hepandensovirus 4	Penaeus monodon hepandensovirus 4, complete genome.
NC_030116	24662	Penguin siadenovirus A isolate CSPAdV_2	Penguin siadenovirus A isolate CSPAdV_2, complete genome.
NC_031948	31481	Bat mastadenovirus G isolate 250-A	Bat mastadenovirus G isolate 250-A, complete genome.
NC_033780	144673	Mythimna unipuncta granulovirus B isolate MyunGV#8	Mythimna unipuncta granulovirus B isolate MyunGV#8, complete genome.
NC_034834	33945	Deer mastadenovirus B isolate 1319	Deer mastadenovirus B isolate 1319, complete genome.
NC_034440	29642	Bat coronavirus isolate PREDICT/PDF-2180	Bat coronavirus isolate PREDICT/PDF-2180, complete genome.
NC_013057	3383	Morogoro mammarenavirus	Morogoro mammarenavirus, segment S
NC_013116	2166	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1	Sclerotinia sclerotiorum hypovirulence associated DNA virus 1, complete genome.
NC_011019	53572	Mycobacterium phage KBG	Mycobacterium phage KBG, complete genome.
NC_011020	50968	Mycobacterium phage Jasper	Mycobacterium phage Jasper, complete genome.
NC_011023	52892	Mycobacterium virus Pukovnik	Mycobacterium virus Pukovnik, complete genome.
NC_013694	51376	Mycobacterium virus Peaches	Mycobacterium virus Peaches, complete genome.
NC_021297	52057	Mycobacterium phage PattyP	Mycobacterium phage PattyP, complete genome.
NC_021307	49894	Mycobacterium phage Severus	Mycobacterium phage Severus, complete genome.
NC_021308	52617	Mycobacterium phage HINdeR	Mycobacterium phage HINdeR, complete genome.
NC_021535	50679	Mycobacterium phage Jobu08	Mycobacterium phage Jobu08, complete genome.
NC_005210	7903	Beet pseudoyellows virus	Beet pseudoyellows virus, segment RNA 2
NC_005209	8006	Beet pseudoyellows virus	Beet pseudoyellows virus, segment RNA 1
NC_014597	1379	Tobacco leaf curl PUSA alphasatellite	Tobacco leaf curl PUSA alphasatellite, complete genome.
NC_008177	1556	Micromonas pusilla reovirus	Micromonas pusilla reovirus, segment 7
NC_015399	1957	Barbel circovirus	Barbel circovirus, complete genome.
NC_022058	52519	Mycobacterium phage Adzzy	Mycobacterium phage Adzzy, complete genome.
NC_022062	52102	Mycobacterium phage Trouble	Mycobacterium phage Trouble, complete genome.
NC_022070	53588	Mycobacteriophage Wheeler	Mycobacteriophage Wheeler, complete genome.
NC_022086	50690	Mycobacterium phage LittleCherry	Mycobacterium phage LittleCherry, complete genome.
NC_022087	53253	Mycobacterium phage AnnaL29	Mycobacterium phage AnnaL29, complete genome.
NC_022329	53636	Mycobacterium phage PhrostyMug	Mycobacterium phage PhrostyMug, complete genome.
NC_022965	52873	Mycobacterium phage CloudWang3	Mycobacterium phage CloudWang3, complete genome.
NC_022973	50755	Mycobacterium phage Conspiracy	Mycobacterium phage Conspiracy, complete genome.
NC_022977	52344	Mycobacterium phage Artemis2UCLA	Mycobacterium phage Artemis2UCLA, complete genome.
NC_022979	52823	Mycobacterium phage Graduation	Mycobacterium phage Graduation, complete genome.
NC_022984	51319	Mycobacterium phage Jovo	Mycobacterium phage Jovo, complete genome.
NC_001457	7353	Human papillomavirus type 4	Human papillomavirus type 4, complete genome.
NC_007612	7412	Bovine papillomavirus 7	Bovine papillomavirus 7, complete genome.
NC_006315	1645	Citrus psorosis virus	Citrus psorosis virus, segment RNA 2
NC_006316	1447	Citrus psorosis virus	Citrus psorosis virus, segment RNA 3
NC_016965	2762	Tomato leaf curl Ranchi virus	Tomato leaf curl Ranchi virus, segment DNA-A
NC_022985	52122	Mycobacterium phage Zaka	Mycobacterium phage Zaka, complete genome.
NC_023553	53159	Mycobacterium phage Echild	Mycobacterium phage Echild, complete genome.
NC_023562	51236	Mycobacterium phage BellusTerra	Mycobacterium phage BellusTerra, complete genome.
NC_023564	52974	Mycobacterium phage EagleEye	Mycobacterium phage EagleEye, complete genome.
NC_023565	51250	Mycobacterium phage Nyxis	Mycobacterium phage Nyxis, complete genome.
NC_023609	46739	Mycobacterium phage RhynO	Mycobacterium phage RhynO, complete genome.
NC_016964	7948	Canine picornavirus	Canine picornavirus, complete genome.
NC_003559	999	Faba bean necrotic yellows virus	Faba bean necrotic yellows virus, segment DNA C
NC_003560	1003	Faba bean necrotic yellows virus	Faba bean necrotic yellows virus, segment DNA R
NC_016877	1761	Spissistilus festinus reovirus	Spissistilus festinus reovirus, segment 8
NC_015880	2292	Baboon orthoreovirus	Baboon orthoreovirus, segment M1
NC_023687	53003	Mycobacterium phage Bruns	Mycobacterium phage Bruns, complete genome.
NC_023704	51421	Mycobacterium phage Doom	Mycobacterium phage Doom, complete genome.
NC_023707	53169	Mycobacterium phage Turbido	Mycobacterium phage Turbido, complete genome.
NC_023708	51083	Mycobacterium phage Dreamboat	Mycobacterium phage Dreamboat, complete genome.
NC_015552	6791	Passion fruit mosaic virus	Passion fruit mosaic virus, complete genome.
NC_023709	51308	Mycobacterium phage Wile	Mycobacterium phage Wile, complete genome.
NC_023713	52288	Mycobacterium phage Blue7	Mycobacterium phage Blue7, complete genome.
NC_023720	53142	Mycobacterium phage Perseus	Mycobacterium phage Perseus, complete genome.
NC_015879	3766	Baboon orthoreovirus	Baboon orthoreovirus, segment L3
NC_015881	2143	Baboon orthoreovirus	Baboon orthoreovirus, segment M2
NC_023723	53684	Mycobacterium phage Aeneas	Mycobacterium phage Aeneas, complete genome.
NC_023726	53597	Mycobacterium phage Euphoria	Mycobacterium phage Euphoria, complete genome.
NC_023731	53526	Mycobacterium phage Trixie	Mycobacterium phage Trixie, complete genome.
NC_023739	51821	Mycobacterium virus BillKnuckles	Mycobacterium virus BillKnuckles, complete genome.
NC_024141	51378	Mycobacterium phage Kampy	Mycobacterium phage Kampy, complete genome.
NC_024148	50101	Mycobacterium phage Phantastic	Mycobacterium phage Phantastic, complete genome.
NC_025444	53332	Mycobacterium phage RedRock	Mycobacterium phage RedRock, complete genome.
NC_015882	1892	Baboon orthoreovirus	Baboon orthoreovirus, segment M3
NC_007905	3366	Ippy mammarenavirus	Ippy mammarenavirus, segment S
NC_026583	49577	Mycobacterium phage Alvin	Mycobacterium phage Alvin, complete genome.
NC_028677	46596	Rhodococcus phage CosmicSans	Rhodococcus phage CosmicSans, complete genome.
NC_028680	50515	Mycobacterium phage Pepe	Mycobacterium phage Pepe, complete genome.
NC_028744	53141	Mycobacterium phage LadyBird	Mycobacterium phage LadyBird, complete genome.
NC_028794	52647	Mycobacterium phage Piro94	Mycobacterium phage Piro94, complete genome.
NC_028802	49158	Mycobacterium phage UnionJack	Mycobacterium phage UnionJack, complete genome.
NC_028804	52643	Mycobacterium phage Barriga	Mycobacterium phage Barriga, complete genome.
NC_028810	52357	Mycobacterium phage Rufus	Mycobacterium phage Rufus, complete genome.
NC_028815	51355	Mycobacterium phage Nhonho	Mycobacterium phage Nhonho, complete genome.
NC_028849	53387	Mycobacterium phage Luchador	Mycobacterium phage Luchador, complete genome.
NC_001434	7176	Hepatitis E virus	Hepatitis E virus, complete genome.
NC_008305	2602	Euphorbia mosaic virus	Euphorbia mosaic virus, segment DNA B
NC_013397	2968	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 2
NC_028852	53042	Mycobacterium phage Equemioh13	Mycobacterium phage Equemioh13, complete genome.
NC_028860	52392	Mycobacterium phage Smeadley	Mycobacterium phage Smeadley, complete genome.
NC_028877	52967	Mycobacterium phage Larenn	Mycobacterium phage Larenn, complete genome.
NC_028897	49421	Mycobacterium phage Chadwick	Mycobacterium phage Chadwick, complete genome.
NC_028912	49717	Mycobacterium phage Swirley	Mycobacterium phage Swirley, complete genome.
NC_028914	52927	Mycobacterium phage Sheen	Mycobacterium phage Sheen, complete genome.
NC_028920	52530	Mycobacterium phage Abrogate	Mycobacterium phage Abrogate, complete genome.
NC_028928	53455	Mycobacterium phage Nerujay	Mycobacterium phage Nerujay, complete genome.
NC_007731	6607	Alternanthera mosaic virus	Alternanthera mosaic virus, complete genome.
NC_028932	52088	Mycobacterium phage Serenity	Mycobacterium phage Serenity, complete genome.
NC_028960	51543	Mycobacterium phage Theia	Mycobacterium phage Theia, complete genome.
NC_029018	50854	Mycobacterium phage Anubis	Mycobacterium phage Anubis, complete genome.
NC_029043	53184	Mycobacterium phage SweetiePie	Mycobacterium phage SweetiePie, complete genome.
NC_013218	6082	Turnip ringspot virus	Turnip ringspot virus, segment RNA 1
NC_029059	51492	Mycobacterium phage Edtherson	Mycobacterium phage Edtherson, complete genome.
NC_029077	52155	Mycobacterium phage VohminGhazi	Mycobacterium phage VohminGhazi, complete genome.
NC_030694	52684	Gordonia phage Rosalind	Gordonia phage Rosalind, complete genome.
NC_030695	52689	Gordonia phage KatherineG	Gordonia phage KatherineG, complete genome.
NC_031031	52738	Gordonia phage Remus	Gordonia phage Remus, complete genome.
NC_031060	52726	Gordonia phage JSwag	Gordonia phage JSwag, complete genome.
NC_013219	3985	Turnip ringspot virus	Turnip ringspot virus, segment RNA 2
NC_013398	2768	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 3
NC_031067	52496	Mycobacterium phage Makemake	Mycobacterium phage Makemake, complete genome.
NC_013220	3220	Phytophthora infestans RNA virus 1	Phytophthora infestans RNA virus 1, segment RNA 1
NC_013399	1983	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 4
NC_031111	53623	Mycobacterium phage Gompeii16	Mycobacterium phage Gompeii16, complete genome.
NC_031238	53411	Mycobacterium phage Catalina	Mycobacterium phage Catalina, complete genome.
NC_031256	53486	Mycobacterium phage Loser	Mycobacterium phage Loser, complete genome.
NC_031257	52428	Mycobacterium phage Mulciber	Mycobacterium phage Mulciber, complete genome.
NC_031263	53935	Mycobacterium phage EvilGenius	Mycobacterium phage EvilGenius, complete genome.
NC_031279	52129	Mycobacterium phage Bactobuster	Mycobacterium phage Bactobuster, complete genome.
NC_028693	18655	Enterococcus phage vB_EfaP_IME195	Enterococcus phage vB_EfaP_IME195, complete genome.
NC_028965	53219	Mycobacterium phage Pioneer	Mycobacterium phage Pioneer, complete genome.
NC_031277	52561	Mycobacterium phage ArcherNM	Mycobacterium phage ArcherNM, complete genome.
NC_031112	59265	Gordonia phage Phinally	Gordonia phage Phinally, complete genome.
NC_031239	59337	Gordonia phage Vivi2	Gordonia phage Vivi2, complete genome.
NC_011057	68090	Mycobacterium phage Phaedrus	Mycobacterium phage Phaedrus, complete genome.
NC_013401	1640	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 6
NC_001866	3392	Avian myelocytomatosis virus	Avian myelocytomatosis virus, complete genome.
NC_021310	68598	Mycobacterium phage Newman	Mycobacterium phage Newman, complete genome.
NC_022061	70838	Mycobacterium phage KayaCho	Mycobacterium phage KayaCho, complete genome.
NC_022063	70115	Mycobacterium phage Phelemich	Mycobacterium phage Phelemich, complete genome.
NC_022983	68196	Mycobacterium phage Bernardo	Mycobacterium phage Bernardo, complete genome.
NC_023554	70841	Mycobacterium phage JAMaL	Mycobacterium phage JAMaL, complete genome.
NC_023563	68262	Mycobacterium phage Suffolk	Mycobacterium phage Suffolk, complete genome.
NC_023686	67949	Mycobacterium phage Gadjet	Mycobacterium phage Gadjet, complete genome.
NC_023701	69864	Mycobacterium phage Acadian	Mycobacterium phage Acadian, complete genome.
NC_023703	64613	Mycobacterium phage Dori	Mycobacterium phage Dori, complete genome.
NC_023711	68720	Mycobacterium phage Oline	Mycobacterium phage Oline, complete genome.
NC_023727	68494	Mycobacterium phage Vista	Mycobacterium phage Vista, complete genome.
NC_023740	68311	Mycobacterium phage JacAttac	Mycobacterium phage JacAttac, complete genome.
NC_023741	69641	Mycobacterium phage Stinger	Mycobacterium phage Stinger, complete genome.
NC_014395	1690	Rift Valley fever virus	Rift Valley fever virus, segment S
NC_013221	2896	Phytophthora infestans RNA virus 1	Phytophthora infestans RNA virus 1, segment RNA 2
NC_023742	68711	Mycobacterium phage Akoma	Mycobacterium phage Akoma, complete genome.
NC_024363	68807	Mycobacterium phage Manad	Mycobacterium phage Manad, complete genome.
NC_025438	67744	Mycobacterium phage Soto	Mycobacterium phage Soto, complete genome.
NC_027985	68016	Mycobacterium phage UncleHowie	Mycobacterium phage UncleHowie, complete genome.
NC_028658	68735	Mycobacterium phage Swish	Mycobacterium phage Swish, complete genome.
NC_028674	68355	Mycobacterium phage ShiVal	Mycobacterium phage ShiVal, complete genome.
NC_028681	68367	Mycobacterium phage Pops	Mycobacterium phage Pops, complete genome.
NC_028682	69030	Mycobacterium phage Badfish	Mycobacterium phage Badfish, complete genome.
NC_028689	67774	Mycobacterium phage Colbert	Mycobacterium phage Colbert, complete genome.
NC_001494	7462	Jaagsiekte sheep retrovirus	Jaagsiekte sheep retrovirus, complete genome.
NC_013403	1186	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 8
NC_013405	810	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 10
NC_013400	1803	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey)	Epizootic hemorrhagic disease virus (serotype 1 / strain New Jersey), segment 5
NC_010951	2578	Wissadula golden mosaic virus	Wissadula golden mosaic virus, segment DNA B
NC_028690	68472	Mycobacterium phage Eremos	Mycobacterium phage Eremos, complete genome.
NC_028691	68227	Mycobacterium phage Apizium	Mycobacterium phage Apizium, complete genome.
NC_028742	70270	Mycobacterium phage Baee	Mycobacterium phage Baee, complete genome.
NC_028801	68346	Mycobacterium phage Vortex	Mycobacterium phage Vortex, complete sequence.
NC_028803	69118	Mycobacterium phage OSmaximus	Mycobacterium phage OSmaximus, complete genome.
NC_028907	68839	Mycobacterium phage Kikipoo	Mycobacterium phage Kikipoo, complete genome.
NC_028934	72139	Mycobacterium phage Vincenzo	Mycobacterium phage Vincenzo, complete genome.
NC_028942	68293	Mycobacterium phage Phipps	Mycobacterium phage Phipps, complete sequence.
NC_010952	2605	Macroptilium golden mosaic virus	Macroptilium golden mosaic virus, segment DNA A
NC_007534	2089	Mycoreovirus 3	Mycoreovirus 3, segment 5
NC_028968	71214	Mycobacterium phage BrownCNA	Mycobacterium phage BrownCNA, complete genome.
NC_027620	29726	Propionibacterium phage MrAK	Propionibacterium phage MrAK, complete genome.
NC_027621	29463	Propionibacterium phage Wizzo	Propionibacterium phage Wizzo, complete genome.
NC_027622	29330	Propionibacterium phage Stormborn	Propionibacterium phage Stormborn, complete genome.
NC_027624	29594	Propionibacterium phage SKKY	Propionibacterium phage SKKY, complete genome.
NC_027625	29461	Propionibacterium phage Kubed	Propionibacterium phage Kubed, complete genome.
NC_027626	29347	Propionibacterium phage Procrass1	Propionibacterium phage Procrass1, complete genome.
NC_027627	29440	Propionibacterium phage Solid	Propionibacterium phage Solid, complete genome.
NC_027628	29517	Propionibacterium phage Lauchelly	Propionibacterium phage Lauchelly, complete genome.
NC_027629	28876	Propionibacterium phage Attacne	Propionibacterium phage Attacne, complete genome.
NC_027630	29506	Propionibacterium phage Ouroboros	Propionibacterium phage Ouroboros, complete genome.
NC_031003	29254	Propionibacterium phage Moyashi	Propionibacterium phage Moyashi, complete genome.
NC_031084	29249	Propionibacterium phage BruceLethal	Propionibacterium phage BruceLethal, complete genome.
NC_031119	29347	Propionibacterium phage Enoki	Propionibacterium phage Enoki, complete genome.
NC_040796	15954	Avian paramyxovirus 20 isolate APMV-20/gull/Kazakhstan/5976/2014	Avian paramyxovirus 20 isolate APMV-20/gull/Kazakhstan/5976/2014, complete genome.
NC_014238	3848	Broome virus	Broome virus, segment L3
NC_040357	8971	Yado-nushi virus 1-A genomic RNA	Yado-nushi virus 1-A genomic RNA, complete genome.
NC_005259	68999	Mycobacterium phage PG1	Mycobacterium phage PG1, complete genome.
NC_022064	70120	Mycobacterium phage Reprobate	Mycobacterium phage Reprobate, complete genome.
NC_022339	29443	Propionibacterium phage PHL037M02	Propionibacterium phage PHL037M02, complete genome.
NC_027347	29511	Propionibacterium phage PHL151M00	Propionibacterium phage PHL151M00, complete genome.
NC_027376	29442	Propionibacterium phage PHL308M00	Propionibacterium phage PHL308M00, complete genome.
NC_027380	29377	Propionibacterium phage PHL067M01	Propionibacterium phage PHL067M01, complete genome.
NC_027392	29264	Propionibacterium phage PHL194M00	Propionibacterium phage PHL194M00, complete genome.
NC_027403	29255	Propionibacterium phage PHL117M00	Propionibacterium phage PHL117M00, complete genome.
NC_022637	1028	Changuinola virus	Changuinola virus, segment 8
NC_027405	29264	Propionibacterium phage PHL163M00	Propionibacterium phage PHL163M00, complete genome.
NC_030928	43851	Xanthomonas phage f20-Xaj	Xanthomonas phage f20-Xaj, complete genome.
NC_030937	44262	Xanthomonas phage f30-Xaj	Xanthomonas phage f30-Xaj, complete genome.
NC_031107	246290	Erwinia phage vB_EamM_Asesino	Erwinia phage vB_EamM_Asesino, complete genome.
NC_041844	109270	Mycobacterium phage Optimus	Mycobacterium phage Optimus, complete genome.
NC_007560	3780	Operophtera brumata reovirus	Operophtera brumata reovirus, segment 2
NC_041845	46450	Flavobacterium phage FCV-1	Flavobacterium phage FCV-1, complete genome.
NC_041846	74997	Mycobacterium phage Bask21	Mycobacterium phage Bask21, complete genome.
NC_041847	57701	Mycobacterium phage Mutaforma13	Mycobacterium phage Mutaforma13, complete genome.
NC_041848	31200	Enterobacteria phage P2	Enterobacteria phage P2, complete genome.
NC_041849	51160	Streptomyces phage phiELB20	Streptomyces phage phiELB20, complete genome.
NC_041850	76174	Mycobacterium phage Eureka	Mycobacterium phage Eureka, complete genome.
NC_041851	37374	Pseudomonas phage F_HA0480sp/Pa1651	Pseudomonas phage F_HA0480sp/Pa1651, complete genome.
NC_008004	7887	Campoletis sonorensis ichnovirus	Campoletis sonorensis ichnovirus, segment F
NC_004611	2739	Tomato leaf curl New Delhi virus	Tomato leaf curl New Delhi virus, segment DNA A
NC_010953	2553	Macroptilium golden mosaic virus	Macroptilium golden mosaic virus, segment DNA B
NC_041852	53972	Mycobacterium phage Nepal	Mycobacterium phage Nepal, complete genome.
NC_041853	49186	Mycobacterium phage Marcell	Mycobacterium phage Marcell, complete genome.
NC_041854	43827	Pectobacterium phage PhiM1	Pectobacterium phage PhiM1, complete genome.
NC_041855	58866	Mycobacterium phage Dorothy	Mycobacterium phage Dorothy, complete genome.
NC_041856	50348	Streptomyces phage phiCAM	Streptomyces phage phiCAM, complete genome.
NC_041857	43665	Acinetobacter phage IME-AB2	Acinetobacter phage IME-AB2, complete genome.
NC_041858	49492	Bacillus phage Taylor	Bacillus phage Taylor, complete genome.
NC_041859	43226	Flavobacterium phage 23T	Flavobacterium phage 23T, complete genome.
NC_041860	50773	Streptomyces phage Danzina	Streptomyces phage Danzina, complete genome.
NC_041861	55073	Enterococcus phage VD13	Enterococcus phage VD13, complete genome.
NC_007816	4431	Cucumber leaf spot virus	Cucumber leaf spot virus, complete genome.
NC_015491	2585	Merremia mosaic Puerto Rico virus	Merremia mosaic Puerto Rico virus, segment DNA B
NC_015116	7489	Avian leukemia virus isolate SCDY1	Avian leukemia virus isolate SCDY1, complete genome.
NC_004440	4633	Tomato black ring virus	Tomato black ring virus, segment RNA 2
NC_015962	2625	Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004]	Tomato chlorotic leaf distortion virus-[Venezuela:Zulia:2004], segment DNA A
NC_003729	4501	Rice black streaked dwarf virus	Rice black streaked dwarf virus, segment 1
NC_017004	2769	Cassava mosaic Madagascar virus	Cassava mosaic Madagascar virus, segment DNA A
NC_003615	7342	Grapevine fanleaf virus	Grapevine fanleaf virus, segment RNA 1
NC_015124	2740	Tomato leaf curl Hanoi virus	Tomato leaf curl Hanoi virus, complete genome.
NC_003887	2513	Cabbage leaf curl virus	Cabbage leaf curl virus, segment DNA B
NC_041863	168733	Escherichia coli O157 typing phage 3	Escherichia coli O157 typing phage 3, complete genome.
NC_041864	160570	Escherichia coli O157 typing phage 6	Escherichia coli O157 typing phage 6, complete genome.
NC_041865	65994	Pseudomonas phage phiKTN6	Pseudomonas phage phiKTN6, complete genome.
NC_041866	47575	Acinetobacter phage YMC11/11/R3177	Acinetobacter phage YMC11/11/R3177, complete genome.
NC_041867	37994	Paenibacillus phage Willow	Paenibacillus phage Willow, complete genome.
NC_041868	38261	Paracoccus phage Shpa	Paracoccus phage Shpa, complete genome.
NC_041869	135400	Escherichia phage APCEc02	Escherichia phage APCEc02, complete genome.
NC_041870	66158	Pseudomonas phage vB_PaeM_CEB_DP1	Pseudomonas phage vB_PaeM_CEB_DP1, complete genome.
NC_041871	135391	Escherichia phage Murica	Escherichia phage Murica, complete genome.
NC_041872	88308	Flavobacterium phage FpV4	Flavobacterium phage FpV4, complete genome.
NC_015126	3958	Avian orthoreovirus	Avian orthoreovirus, segment L1
NC_014596	2707	Tobacco leaf curl Pusa virus	Tobacco leaf curl Pusa virus, segment DNA-A
NC_041876	37809	Arthrobacter phage Galaxy	Arthrobacter phage Galaxy, complete genome.
NC_041877	93191	Pseudomonas phage SM1	Pseudomonas phage SM1, complete genome.
NC_041878	378379	Pectobacterium phage CBB	Pectobacterium phage CBB, complete genome.
NC_001331	7349	Pseudomonas phage Pf1	Pseudomonas phage Pf1, complete genome.
NC_003056	5853	Soybean dwarf virus genomic RNA	Soybean dwarf virus genomic RNA, complete genome, strain:YS.
NC_041873	50298	Escherichia phage JMPW2	Escherichia phage JMPW2, complete genome.
NC_041874	49628	Escherichia phage JMPW1	Escherichia phage JMPW1, complete genome.
NC_041875	46723	Arthrobacter phage Jasmine	Arthrobacter phage Jasmine, complete genome.
NC_041879	58951	Bacillus phage Mgbh1	Bacillus phage Mgbh1, complete genome.
NC_041880	103218	Pseudomonas phage phiPMW	Pseudomonas phage phiPMW, complete genome.
NC_041881	158136	Pseudomonas phage pf16	Pseudomonas phage pf16, complete genome.
NC_041882	43478	Mycobacterium phage SkinnyPete	Mycobacterium phage SkinnyPete, complete genome.
NC_041883	47881	Gordonia phage Attis	Gordonia phage Attis, complete genome.
NC_015129	2283	Avian orthoreovirus	Avian orthoreovirus, segment M1
NC_041884	234900	Acinetobacter phage vB_AbaM_ME3	Acinetobacter phage vB_AbaM_ME3, complete genome.
NC_041885	40556	Pseudomonas phage VSW-3	Pseudomonas phage VSW-3, complete genome.
NC_041886	52738	Gordonia phage Strosahl	Gordonia phage Strosahl, complete genome.
NC_041887	134973	Rhodococcus phage Weasels2	Rhodococcus phage Weasels2, complete genome.
NC_041888	49658	Mycobacterium phage Tortellini	Mycobacterium phage Tortellini, complete genome.
NC_041889	56168	Streptomyces phage Rima	Streptomyces phage Rima, complete genome.
NC_041890	35284	Propionibacterium phage Anatole	Propionibacterium phage Anatole, complete genome.
NC_015130	2158	Avian orthoreovirus	Avian orthoreovirus, segment M2
NC_041891	37219	Propionibacterium phage B22	Propionibacterium phage B22, complete genome.
NC_041892	35948	Propionibacterium phage B3	Propionibacterium phage B3, complete genome.
NC_041893	37429	Propionibacterium phage Doucette	Propionibacterium phage Doucette, complete genome.
NC_041894	38067	Propionibacterium phage E6	Propionibacterium phage E6, complete genome.
NC_041895	38555	Propionibacterium phage G4	Propionibacterium phage G4, complete genome.
NC_041896	134073	Campylobacter phage vB_CjeM_Los1	Campylobacter phage vB_CjeM_Los1, complete genome.
NC_041897	42292	Escherichia phage K1ind1	Escherichia phage K1ind1, complete genome.
NC_041898	42765	Escherichia phage K1ind2	Escherichia phage K1ind2, complete genome.
NC_015127	3829	Avian orthoreovirus	Avian orthoreovirus, segment L2
NC_015132	1645	Avian orthoreovirus	Avian orthoreovirus, segment S1
NC_041899	123490	Klebsiella phage vB_Kpn_IME260	Klebsiella phage vB_Kpn_IME260, complete genome.
NC_041900	47405	Klebsiella phage vB_KpnM_KpV52	Klebsiella phage vB_KpnM_KpV52, complete genome.
NC_041901	157034	Mycobacterium phage Lukilu	Mycobacterium phage Lukilu, complete genome.
NC_041902	66182	Pseudomonas phage PA5	Pseudomonas phage PA5, complete genome.
NC_041903	91212	Pseudomonas phage PA10	Pseudomonas phage PA10, complete genome.
NC_041904	92338	Pseudomonas phage Zigelbrucke	Pseudomonas phage Zigelbrucke, complete genome.
NC_041905	40493	Acinetobacter phage SH-Ab 15519	Acinetobacter phage SH-Ab 15519, complete genome.
NC_041906	70912	Escherichia phage EC1-UPM	Escherichia phage EC1-UPM, complete genome.
NC_041907	72321	Pseudomonas phage PA26	Pseudomonas phage PA26, complete genome.
NC_015128	3907	Avian orthoreovirus	Avian orthoreovirus, segment L3
NC_041908	53018	Rhizobium phage RHEph04	Rhizobium phage RHEph04, complete genome.
NC_041909	41152	Bacteriophage Shelly	Bacteriophage Shelly, complete genome.
NC_015133	1324	Avian orthoreovirus	Avian orthoreovirus, segment S2
NC_041910	76350	Vibrio vulnificus phage SSP002	Vibrio vulnificus phage SSP002, complete genome.
NC_041911	279845	Ralstonia phage RP12 DNA	Ralstonia phage RP12 DNA, complete genome.
NC_041912	40551	Aquamicrobium phage P14	Aquamicrobium phage P14, complete genome.
NC_041913	118537	Providencia phage vB_PreS_PR1	Providencia phage vB_PreS_PR1, complete genome.
NC_041914	41402	Acinetobacter phage vB_AbaP_AS12	Acinetobacter phage vB_AbaP_AS12, complete genome.
NC_041915	41642	Acinetobacter phage vB_AbaP_AS11	Acinetobacter phage vB_AbaP_AS11, complete genome.
NC_041916	239276	Vibrio phage pTD1 DNA	Vibrio phage pTD1 DNA, complete genome.
NC_041917	357154	Serratia phage BF	Serratia phage BF, complete genome.
NC_041918	47703	Geobacillus phage TP-84	Geobacillus phage TP-84, complete genome.
NC_015134	1202	Avian orthoreovirus	Avian orthoreovirus, segment S3
NC_003054	1821	Goose circovirus	Goose circovirus, complete genome.
NC_004645	2612	Squash mild leaf curl virus	Squash mild leaf curl virus, segment DNA A
NC_041919	168188	UNVERIFIED: Escherichia phage CF2	UNVERIFIED: Escherichia phage CF2, complete genome.
NC_041920	170254	UNVERIFIED: Escherichia phage HP3	UNVERIFIED: Escherichia phage HP3, complete genome.
NC_041921	77874	Dinoroseobacter phage vB_DshS-R5C	Dinoroseobacter phage vB_DshS-R5C, complete genome.
NC_041922	84419	Salmonella phage Si3	Salmonella phage Si3, complete genome.
NC_041923	87709	Salmonella phage Mushroom	Salmonella phage Mushroom, complete genome.
