Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_006312.2	1180	Influenza C virus (C/Ann Arbor/1/50) M1	Influenza C virus (C/Ann Arbor/1/50) M1, CM2 genes for matrix protein, CM2 protein, complete cds
NC_006310.2	2073	Influenza C virus (C/Ann Arbor/1/50) HEF gene for hemagglutinin-esterase-fusion	Influenza C virus (C/Ann Arbor/1/50) HEF gene for hemagglutinin-esterase-fusion, complete cds
NC_006309.2	2183	Influenza C virus (C/Ann Arbor/1/50) P3 gene for polymerase 3	Influenza C virus (C/Ann Arbor/1/50) P3 gene for polymerase 3, complete cds
NC_006308.2	2363	Influenza C virus (C/Ann Arbor/1/50) PB1 gene for polymerase 1	Influenza C virus (C/Ann Arbor/1/50) PB1 gene for polymerase 1, complete cds
NC_006307.2	2365	Influenza C virus (C/Ann Arbor/1/50) PB2 gene for polymerase 2	Influenza C virus (C/Ann Arbor/1/50) PB2 gene for polymerase 2, complete cds
NC_032682.2	1723	Indian encephalitis associated cyclovirus isolate IECSF08	Indian encephalitis associated cyclovirus isolate IECSF08, complete genome
NC_035758.1	6339	Bastrovirus 7	Bastrovirus 7, complete genome
NC_035475.1	2585	Hudisavirus sp. isolate P22	Hudisavirus sp. isolate P22, complete genome
NC_035474.1	2560	Human feces smacovirus 3 isolate P21	Human feces smacovirus 3 isolate P21, complete genome
NC_035469.1	200223	NY_014 poxvirus strain 2013	NY_014 poxvirus strain 2013, complete genome
NC_034975.1	3510	California sea lion astrovirus 2 RNA-dependent RNA polymerase gene	California sea lion astrovirus 2 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds
NC_034505.1	4642	Madrid virus strain BT4075 polyprotein gene	Madrid virus strain BT4075 polyprotein gene, complete cds
NC_034504.1	4594	Marituba virus strain BeAn15 polyprotein gene	Marituba virus strain BeAn15 polyprotein gene, complete cds
NC_034498.1	1090	Madrid virus strain BT4075 nucleocapsid protein and nonstructural protein genes	Madrid virus strain BT4075 nucleocapsid protein and nonstructural protein genes, complete cds
NC_034497.1	6872	Madrid virus strain BT4075 RNA-dependent RNA polymerase gene	Madrid virus strain BT4075 RNA-dependent RNA polymerase gene, complete cds
NC_034496.1	1111	Marituba virus strain BeAn15 nucleocapsid protein and nonstructural protein genes	Marituba virus strain BeAn15 nucleocapsid protein and nonstructural protein genes, complete cds
NC_034495.1	6894	Marituba virus strain BeAn15 RNA-dependent RNA polymerase gene	Marituba virus strain BeAn15 RNA-dependent RNA polymerase gene, complete cds
NC_034490.1	4557	Bwamba virus strain M459 segment M glycoprotein precursor gene	Bwamba virus strain M459 segment M glycoprotein precursor gene, complete cds
NC_034489.1	6855	Caraparu virus strain BeAn3994 RNA-dependent RNA polymerase gene	Caraparu virus strain BeAn3994 RNA-dependent RNA polymerase gene, complete cds
NC_034488.1	4332	Oriboca virus strain BeAn17 polyprotein gene	Oriboca virus strain BeAn17 polyprotein gene, complete cds
NC_034480.1	1096	Bwamba virus strain M459 segment S nucleoprotein and nonstructural protein NSs genes	Bwamba virus strain M459 segment S nucleoprotein and nonstructural protein NSs genes, complete cds
NC_034479.1	6934	Bwamba virus strain M459 segment L polymerase gene	Bwamba virus strain M459 segment L polymerase gene, complete cds
NC_034478.1	1048	Caraparu virus strain BeAn3994 nucleocapsid protein and nonstructural protein genes	Caraparu virus strain BeAn3994 nucleocapsid protein and nonstructural protein genes, complete cds
NC_034477.1	4356	Caraparu virus strain BeAn3994 polyprotein gene	Caraparu virus strain BeAn3994 polyprotein gene, complete cds
NC_034476.1	1032	Oriboca virus strain BeAn17 nucleocapsid protein and nonstructural protein genes	Oriboca virus strain BeAn17 nucleocapsid protein and nonstructural protein genes, complete cds
NC_034475.1	6895	Oriboca virus strain BeAn17 RNA-dependent RNA polymerase gene	Oriboca virus strain BeAn17 RNA-dependent RNA polymerase gene, complete cds
NC_034443.1	11450	Le Dantec virus nucleoprotein	Le Dantec virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds
NC_034391.1	5077	Nairobi sheep disease virus isolate Jilin segment M glycoprotein precursor	Nairobi sheep disease virus isolate Jilin segment M glycoprotein precursor, gene, complete cds
NC_034387.1	12081	Nairobi sheep disease virus isolate Jilin segment L RNA-dependent RNA polymerase gene	Nairobi sheep disease virus isolate Jilin segment L RNA-dependent RNA polymerase gene, complete cds
NC_034386.1	1590	Nairobi sheep disease virus isolate Jilin segment S nucleocapsid gene	Nairobi sheep disease virus isolate Jilin segment S nucleocapsid gene, complete cds
NC_034385.1	6656	Human cosavirus F strain PK5006 polyprotein gene	Human cosavirus F strain PK5006 polyprotein gene, complete cds
NC_034263.1	2224	Dhori virus isolate Dhori/1313/61 segment 2	Dhori virus isolate Dhori/1313/61 segment 2, complete sequence
NC_034262.1	1478	Dhori virus isolate Dhori/1313/61 segment 5	Dhori virus isolate Dhori/1313/61 segment 5, complete sequence
NC_034261.1	2375	Dhori virus isolate Dhori/1313/61 segment 1	Dhori virus isolate Dhori/1313/61 segment 1, complete sequence
NC_034256.1	961	Dhori virus isolate Dhori/1313/61 segment 6	Dhori virus isolate Dhori/1313/61 segment 6, complete sequence
NC_034255.1	1606	Dhori virus isolate Dhori/1313/61 segment 4	Dhori virus isolate Dhori/1313/61 segment 4, complete sequence
NC_034254.1	1972	Dhori virus isolate Dhori/1313/61 segment 3	Dhori virus isolate Dhori/1313/61 segment 3, complete sequence
NC_034253.1	5269	LI polyomavirus isolate LIPyV	LI polyomavirus isolate LIPyV, complete genome
NC_034225.1	2629	Mogiana tick virus isolate MGTV/V4/11 putative glycoprotein gene	Mogiana tick virus isolate MGTV/V4/11 putative glycoprotein gene, complete cds
NC_034224.1	2728	Mogiana tick virus isolate MGTV/V4/11 VP2-3 gene	Mogiana tick virus isolate MGTV/V4/11 VP2-3 gene, complete cds
NC_034223.1	2705	Mogiana tick virus isolate MGTV/V4/11 segment 3	Mogiana tick virus isolate MGTV/V4/11 segment 3, complete sequence
NC_034222.1	2963	Mogiana tick virus isolate MGTV/V4/11 segment 1	Mogiana tick virus isolate MGTV/V4/11 segment 1, complete sequence
NC_033781.1	7329	Human papillomavirus type 156 isolate GC01	Human papillomavirus type 156 isolate GC01, complete genome
NC_032480.1	8856	Husavirus sp. isolate 16370_59	Husavirus sp. isolate 16370_59, complete genome
NC_031286.1	1840	Tacheng Tick Virus 1 strain TC253 nucleopasid protein (N) gene	Tacheng Tick Virus 1 strain TC253 nucleopasid protein (N) gene, complete cds
NC_031285.1	5147	Tacheng Tick Virus 1 strain TC253 glycoprotein precursor (G) gene	Tacheng Tick Virus 1 strain TC253 glycoprotein precursor (G) gene, complete cds
NC_031284.1	12184	Tacheng Tick Virus 1 strain TC253 RNA-dependent RNA polymerase (L) gene	Tacheng Tick Virus 1 strain TC253 RNA-dependent RNA polymerase (L) gene, complete cds
NC_030922.1	6673	Mamastrovirus 1 genomic RNA	Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347
NC_030701.1	8798	Variegated squirrel bornavirus 1	Variegated squirrel bornavirus 1, complete genome
NC_001526.4	7906	Human papillomavirus type 16	Human papillomavirus type 16, complete genome
NC_030448.1	2262	Gemycircularvirus HV-GcV2	Gemycircularvirus HV-GcV2, complete genome
NC_030447.1	2264	Gemycircularvirus HV-GcV1	Gemycircularvirus HV-GcV1, complete genome
NC_030297.1	2803	Torque teno mini virus 18 isolate 222	Torque teno mini virus 18 isolate 222, complete genome
NC_027998.2	9867	Human pegivirus 2 isolate UC0125.US polyprotein gene	Human pegivirus 2 isolate UC0125.US polyprotein gene, complete cds
NC_028752.1	27395	Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015	Camel alphacoronavirus isolate camel/Riyadh/Ry141/2015, complete genome
NC_028125.1	7233	Human papillomavirus type 163 isolate KC3	Human papillomavirus type 163 isolate KC3, complete genome
NC_003977.2	3182	Hepatitis B virus (strain ayw) genome	Hepatitis B virus (strain ayw) genome
NC_027779.1	7320	Human papillomavirus isolate SE379	Human papillomavirus isolate SE379, complete genome
NC_027528.1	7291	Human papillomavirus type 201 isolate HPV201	Human papillomavirus type 201 isolate HPV201, complete genome
NC_027142.1	1871	Bhanja virus strain ibAr2709 segment S	Bhanja virus strain ibAr2709 segment S, complete sequence
NC_027141.1	3307	Bhanja virus strain ibAr2709 segment M	Bhanja virus strain ibAr2709 segment M, complete sequence
NC_027140.1	6333	Bhanja virus strain ibAr2709 segment L	Bhanja virus strain ibAr2709 segment L, complete sequence
NC_027026.1	7521	Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA	Sapovirus Hu/Nagoya/NGY-1/2012/JPN genomic RNA, complete genome
NC_027016.1	226084	Papio ursinus cytomegalovirus isolate OCOM4-52	Papio ursinus cytomegalovirus isolate OCOM4-52, complete genome
NC_001806.2	152222	Human herpesvirus 1 strain 17	Human herpesvirus 1 strain 17, complete genome
NC_026946.1	7143	Human papillomavirus KC5	Human papillomavirus KC5, complete genome
NC_026818.1	2199	Gemycircularvirus SL1	Gemycircularvirus SL1, complete genome
NC_026817.1	2235	Human genital-associated circular DNA virus-1 isolate 349	Human genital-associated circular DNA virus-1 isolate 349, complete genome
NC_026809.1	2123	Mongoose feces-associated gemycircularvirus c strain 541c	Mongoose feces-associated gemycircularvirus c strain 541c, complete genome
NC_009528.2	11930	European bat lyssavirus 2 isolate RV1333	European bat lyssavirus 2 isolate RV1333, complete genome
NC_026438.1	2280	Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds
NC_026437.1	2151	Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 3 polymerase PA (PA) gene, complete cds
NC_026436.1	1497	Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds
NC_026435.1	2274	Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence
NC_026434.1	1410	Influenza A virus (A/California/07/2009(H1N1)) segment 6 neuraminidase (NA) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 6 neuraminidase (NA) gene, complete cds
NC_026433.1	1701	Influenza A virus (A/California/07/2009(H1N1)) segment 4 hemagglutinin (HA) gene	Influenza A virus (A/California/07/2009(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds
NC_026432.1	863	Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes	Influenza A virus (A/California/07/2009(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds
NC_026431.1	982	Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes	Influenza A virus (A/California/07/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds
NC_026429.1	1398	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 6 neuraminidase (NA) gene	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 6 neuraminidase (NA) gene, complete cds
NC_026428.1	841	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds
NC_026427.1	985	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds
NC_026426.1	1506	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 5 nucleocapsid protein (NP) gene, complete cds
NC_026425.1	1708	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 4 hemagglutinin (HA) gene	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 4 hemagglutinin (HA) gene, complete cds
NC_026424.1	2176	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds
NC_026423.1	2297	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds
NC_026422.1	2280	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene	Influenza A virus (A/Shanghai/02/2013(H7N9)) segment 1 polymerase PB2 (PB2) gene, complete cds
NC_026252.1	2460	Human smacovirus 1 isolate France/12/2008/3454	Human smacovirus 1 isolate France/12/2008/3454, complete genome
NC_026161.1	2243	Sewage-associated gemycircularvirus-5 isolate BS3963	Sewage-associated gemycircularvirus-5 isolate BS3963, complete sequence
NC_026169.1	2249	Sewage-associated gemycircularvirus-10a isolate BS3980	Sewage-associated gemycircularvirus-10a isolate BS3980, complete sequence
NC_025961.1	7213	Cosavirus JMY-2014 isolate Cosa-CHN	Cosavirus JMY-2014 isolate Cosa-CHN, complete genome
NC_010277.2	5387	Merkel cell polyomavirus isolate R17b	Merkel cell polyomavirus isolate R17b, complete genome
NC_025810.1	1184	Cangyuan orthoreovirus strain Cangyuan segment S4	Cangyuan orthoreovirus strain Cangyuan segment S4, complete sequence
NC_025809.1	1323	Cangyuan orthoreovirus strain Cangyuan segment S2	Cangyuan orthoreovirus strain Cangyuan segment S2, complete sequence
NC_025808.1	2134	Cangyuan orthoreovirus strain Cangyuan segment M2	Cangyuan orthoreovirus strain Cangyuan segment M2, complete sequence
NC_025807.1	1179	Cangyuan orthoreovirus strain Cangyuan segment S3	Cangyuan orthoreovirus strain Cangyuan segment S3, complete sequence
NC_025806.1	1596	Cangyuan orthoreovirus strain Cangyuan segment S1	Cangyuan orthoreovirus strain Cangyuan segment S1, complete sequence
NC_025805.1	1983	Cangyuan orthoreovirus strain Cangyuan segment M3	Cangyuan orthoreovirus strain Cangyuan segment M3, complete sequence
NC_025804.1	2277	Cangyuan orthoreovirus strain Cangyuan segment M1	Cangyuan orthoreovirus strain Cangyuan segment M1, complete sequence
NC_025803.1	3944	Cangyuan orthoreovirus strain Cangyuan segment L3	Cangyuan orthoreovirus strain Cangyuan segment L3, complete sequence
NC_025802.1	3820	Cangyuan orthoreovirus strain Cangyuan segment L2	Cangyuan orthoreovirus strain Cangyuan segment L2, complete sequence
NC_025801.1	3885	Cangyuan orthoreovirus strain Cangyuan segment L1	Cangyuan orthoreovirus strain Cangyuan segment L1, complete sequence
NC_025727.1	2855	Torque teno mini virus ALH8	Torque teno mini virus ALH8, complete genome
NC_025726.1	2914	Torque teno mini virus ALA22	Torque teno mini virus ALA22, complete genome
NC_022517.1	8507	Baboon endogenous virus strain M7 proviral DNA	Baboon endogenous virus strain M7 proviral DNA, complete genome
NC_025343.1	15480	Sosuga virus isolate 2012	Sosuga virus isolate 2012, complete genome
NC_025114.1	7998	Salivirus FHB	Salivirus FHB, complete genome
NC_024888.1	4733	Bufavirus-3 genes for NS1	Bufavirus-3 genes for NS1, putative VP1, hypothetical protein, VP2, complete cds, strain: BTN-63
NC_024781.1	19114	Marburg marburgvirus isolate Ravn virus/H.sapiens-tc/KEN/1987/Kitum Cave-810040	Marburg marburgvirus isolate Ravn virus/H.sapiens-tc/KEN/1987/Kitum Cave-810040, complete genome
NC_024694.1	2836	Human circovirus VS6600022	Human circovirus VS6600022, complete genome
NC_024691.1	2259	MSSI2.225 virus complete sequence	MSSI2.225 virus complete sequence
NC_024496.1	1772	Heartland virus isolate Patient1 segment S	Heartland virus isolate Patient1 segment S, complete sequence
NC_024495.1	6368	Heartland virus isolate Patient1 segment L	Heartland virus isolate Patient1 segment L, complete sequence
NC_024494.1	3427	Heartland virus isolate Patient1 segment M	Heartland virus isolate Patient1 segment M, complete sequence
NC_024472.1	6577	Human astrovirus BF34	Human astrovirus BF34, complete genome
NC_024377.1	9525	Simian pegivirus isolate SPgVkrc_RC08 polyprotein precursor	Simian pegivirus isolate SPgVkrc_RC08 polyprotein precursor, gene, complete cds
NC_024118.1	5108	New Jersey polyomavirus-2013 isolate NJ-PyV-2013	New Jersey polyomavirus-2013 isolate NJ-PyV-2013, complete genome
NC_024114.1	2824	Jingmen Tick Virus isolate SY84 segment 3	Jingmen Tick Virus isolate SY84 segment 3, complete sequence
NC_024113.1	3114	Jingmen Tick Virus isolate SY84 segment 1	Jingmen Tick Virus isolate SY84 segment 1, complete sequence
NC_024112.1	2847	Jingmen Tick Virus isolate SY84 segment 2	Jingmen Tick Virus isolate SY84 segment 2, complete sequence
NC_024111.1	2794	Jingmen Tick Virus isolate SY84 segment 4	Jingmen Tick Virus isolate SY84 segment 4, complete sequence
NC_024073.1	7376	Enterovirus sp. isolate CPML_8109/08	Enterovirus sp. isolate CPML_8109/08, complete genome
NC_024070.1	8931	Rosavirus 2 strain GA7403	Rosavirus 2 strain GA7403, complete genome
NC_023984.1	7802	Human cosavirus isolate Cosavirus_Amsterdam_1994	Human cosavirus isolate Cosavirus_Amsterdam_1994, complete genome
NC_023891.1	7314	Human papillomavirus type 178	Human papillomavirus type 178, complete genome
NC_023888.1	2526	Circo-like virus-Brazil hs1	Circo-like virus-Brazil hs1, complete genome
NC_023812.1	11624	Madariaga virus strain MADV/Cebus apella/BRA/BEAN5122/1956	Madariaga virus strain MADV/Cebus apella/BRA/BEAN5122/1956, complete genome
NC_022892.1	7228	Human papillomavirus type 167 isolate KC10	Human papillomavirus type 167 isolate KC10, complete genome
NC_022789.1	2282	Gyrovirus Tu789	Gyrovirus Tu789, complete genome
NC_022788.1	2020	Gyrovirus Tu243	Gyrovirus Tu243, complete genome
NC_022518.1	9472	Human endogenous retrovirus K113 complete genome	Human endogenous retrovirus K113 complete genome
NC_022095.1	7228	Human papillomavirus type 179 complete genome	Human papillomavirus type 179 complete genome, isolate SIBX16
NC_022089.1	3780	Parvovirus NIH-CQV putative 15-kDa protein	Parvovirus NIH-CQV putative 15-kDa protein, putative replication associated protein (rep), and putative capsid protein (cap) genes, complete cds
NC_001906.3	18234	Hendra virus	Hendra virus, complete genome
NC_021928.1	17052	Human parainfluenza virus 4a viral cRNA	Human parainfluenza virus 4a viral cRNA, complete genome, strain: M-25
NC_021568.1	1832	Human cyclovirus VS5700009	Human cyclovirus VS5700009, complete genome
NC_021551.1	2341	Human rotavirus B strain Bang373 VP3 (VP3) mRNA	Human rotavirus B strain Bang373 VP3 (VP3) mRNA, complete cds
NC_021550.1	751	Human rotavirus B strain Bang373 nonstructural protein (NSP4) gene	Human rotavirus B strain Bang373 nonstructural protein (NSP4) gene, complete cds
NC_021549.1	631	Human rotavirus B strain Bang373 nonstructural protein (NSP5) gene	Human rotavirus B strain Bang373 nonstructural protein (NSP5) gene, complete cds
NC_021548.1	1007	Human rotavirus B strain Bang373 nonstructural protein (NSP2) gene	Human rotavirus B strain Bang373 nonstructural protein (NSP2) gene, complete cds
NC_021547.1	1179	Human rotavirus B strain Bang373 nonstructural protein (NSP3) gene	Human rotavirus B strain Bang373 nonstructural protein (NSP3) gene, complete cds
NC_021546.1	1276	Human rotavirus B strain Bang373 nonstructural protein 1-1 (NSP1-1)	Human rotavirus B strain Bang373 nonstructural protein 1-1 (NSP1-1), nonstructural protein 1-2 (NSP1-2), and nonstructural protein 1-3 (NSP1-3) genes, complete cds
NC_021545.1	2847	Human rotavirus B strain Bang373 inner capsid protein (VP2) gene	Human rotavirus B strain Bang373 inner capsid protein (VP2) gene, complete cds
NC_021544.1	1269	Human rotavirus B strain Bang373 inner capsid protein (VP6) gene	Human rotavirus B strain Bang373 inner capsid protein (VP6) gene, complete cds
NC_021543.1	2306	Human rotavirus B strain Bang373 outer capsid protein (VP4) gene	Human rotavirus B strain Bang373 outer capsid protein (VP4) gene, complete cds
NC_021542.1	814	Human rotavirus B strain Bang373 outer capsid protein (VP7) gene	Human rotavirus B strain Bang373 outer capsid protein (VP7) gene, complete cds
NC_021541.1	3511	Human rotavirus B strain Bang373 RNA dependent RNA polymerase (VP1) mRNA	Human rotavirus B strain Bang373 RNA dependent RNA polymerase (VP1) mRNA, complete cds
NC_021483.1	7286	Human papillomavirus type 154 isolate PV77	Human papillomavirus type 154 isolate PV77, complete genome
NC_020810.1	11976	Duvenhage virus isolate 86132SA	Duvenhage virus isolate 86132SA, complete genome
NC_020807.1	12016	Lagos bat virus isolate 0406SEN	Lagos bat virus isolate 0406SEN, complete genome
NC_020805.1	11120	Chandipura virus isolate CIN 0451	Chandipura virus isolate CIN 0451, complete genome
NC_020498.1	2912	TTV-like mini virus isolate TTMV_LY1	TTV-like mini virus isolate TTMV_LY1, complete genome
NC_020445.1	1192	Melaka orthoreovirus segment S3	Melaka orthoreovirus segment S3, complete sequence
NC_020439.1	3896	Melaka orthoreovirus segment L1	Melaka orthoreovirus segment L1, complete sequence
NC_020448.1	1605	Melaka orthoreovirus segment S1	Melaka orthoreovirus segment S1, complete sequence
NC_020447.1	3833	Melaka orthoreovirus segment L2	Melaka orthoreovirus segment L2, complete sequence
NC_020446.1	1184	Melaka orthoreovirus segment S4	Melaka orthoreovirus segment S4, complete sequence
NC_020444.1	1322	Melaka orthoreovirus segment S2	Melaka orthoreovirus segment S2, complete sequence
NC_020443.1	1984	Melaka orthoreovirus segment M3	Melaka orthoreovirus segment M3, complete sequence
NC_020442.1	2145	Melaka orthoreovirus segment M2	Melaka orthoreovirus segment M2, complete sequence
NC_020441.1	2295	Melaka orthoreovirus segment M1	Melaka orthoreovirus segment M1, complete sequence
NC_020440.1	3954	Melaka orthoreovirus segment L3	Melaka orthoreovirus segment L3, complete sequence
NC_020106.1	4776	STL polyomavirus strain MA138	STL polyomavirus strain MA138, complete genome
NC_019028.1	6124	Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004	Astrovirus MLB3 isolate MLB3/human/Vellore/26564/2004, complete genome
NC_019027.1	6518	Astrovirus VA4 isolate VA4/human/Nepal/s5363	Astrovirus VA4 isolate VA4/human/Nepal/s5363, complete genome
NC_019026.1	6581	Astrovirus VA3 isolate VA3/human/Vellore/28054/2005	Astrovirus VA3 isolate VA3/human/Vellore/28054/2005, complete genome
NC_019023.1	7212	Human papillomavirus type 166 isolate KC9	Human papillomavirus type 166 isolate KC9, complete genome
NC_018401.1	2034	Gyrovirus 4	Gyrovirus 4, complete genome
NC_018138.1	3378	SFTS virus HB29 segment M	SFTS virus HB29 segment M, complete genome
NC_018137.1	1744	SFTS virus HB29 segment S	SFTS virus HB29 segment S, complete genome
NC_018136.1	6368	SFTS virus HB29 segment L	SFTS virus HB29 segment L, complete genome
NC_017091.1	2359	Gyrovirus GyV3	Gyrovirus GyV3, complete genome
NC_018102.1	4927	MW polyomavirus	MW polyomavirus, complete genome
NC_017997.1	7271	Human papillomavirus type 144	Human papillomavirus type 144, complete genome
NC_017996.1	7341	Human papillomavirus type 140	Human papillomavirus type 140, complete genome
NC_017995.1	7236	Human papillomavirus type 137	Human papillomavirus type 137, complete genome
NC_017994.1	7319	Human papillomavirus type 136	Human papillomavirus type 136, complete genome
NC_017993.1	7293	Human papillomavirus type 135	Human papillomavirus type 135, complete genome
NC_017825.1	36711	Chimpanzee adenovirus Y25	Chimpanzee adenovirus Y25, complete genome
NC_015843.2	10990	Tembusu virus flavivirus polyprotein (flavivirus polyprotein gene) gene	Tembusu virus flavivirus polyprotein (flavivirus polyprotein gene) gene, complete cds
NC_016155.1	6119	Astrovirus MLB2	Astrovirus MLB2, complete genome
NC_012783.2	226205	Cercopithecine herpesvirus 5 strain 2715	Cercopithecine herpesvirus 5 strain 2715, complete genome
NC_016157.1	7326	Human papillomavirus type 126	Human papillomavirus type 126, complete genome
NC_005227.2	1831	Tula virus segment S	Tula virus segment S, complete genome
NC_000883.2	5596	Human parvovirus B19	Human parvovirus B19, complete genome
NC_011505.2	667	Rotavirus A segment 11	Rotavirus A segment 11, complete genome
NC_011504.2	751	Rotavirus A segment 10	Rotavirus A segment 10, complete genome
NC_011509.2	1356	Rotavirus A segment 6	Rotavirus A segment 6, complete genome
NC_011508.2	2591	Rotavirus A segment 3	Rotavirus A segment 3, complete genome
NC_011507.2	3302	Rotavirus A segment 1	Rotavirus A segment 1, complete genome
NC_011506.2	2693	Rotavirus A segment 2	Rotavirus A segment 2, complete genome
NC_011503.2	1062	Rotavirus A segment 9	Rotavirus A segment 9, complete genome
NC_011502.2	1059	Rotavirus A segment 8	Rotavirus A segment 8, complete genome
NC_011501.2	1105	Rotavirus A segment 7	Rotavirus A segment 7, complete genome
NC_011500.2	1614	Rotavirus A segment 5	Rotavirus A segment 5, complete genome
NC_011510.2	2362	Rotavirus A segment 4	Rotavirus A segment 4, complete genome
NC_015783.1	3725	Torque teno virus	Torque teno virus, complete genome
NC_007815.2	8197	PreXMRV-1 provirus	PreXMRV-1 provirus, complete genome
NC_015692.1	7686	Colobus guereza papillomavirus type 2	Colobus guereza papillomavirus type 2, complete genome
NC_001545.2	9762	Rubella virus	Rubella virus, complete genome
NC_015413.1	1761	Sandfly Sicilian Turkey virus segment S	Sandfly Sicilian Turkey virus segment S, complete genome
NC_015412.1	6439	Sandfly Sicilian Turkey virus segment L	Sandfly Sicilian Turkey virus segment L, complete genome
NC_015411.1	4403	Sandfly Sicilian Turkey virus segment M	Sandfly Sicilian Turkey virus segment M, complete genome
NC_015396.1	2383	Avian gyrovirus 2	Avian gyrovirus 2, complete genome
NC_015374.1	6327	Candiru virus segment L	Candiru virus segment L, complete genome
NC_015373.1	4326	Candiru virus segment M	Candiru virus segment M, complete genome
NC_015375.1	1842	Candiru virus segment S	Candiru virus segment S, complete genome
NC_015150.1	5026	Human polyomavirus 9	Human polyomavirus 9, complete genome
NC_014955.1	7125	Human papillomavirus type 132	Human papillomavirus type 132, complete genome
NC_014480.2	3322	Torque teno virus 2	Torque teno virus 2, complete genome
NC_014524.1	1936	Great Island virus segment 3	Great Island virus segment 3, complete genome
NC_014529.1	1172	UNVERIFIED: Great Island virus isolate CanAr 42 segment 8	UNVERIFIED: Great Island virus isolate CanAr 42 segment 8, complete sequence
NC_014530.1	1056	Great Island virus segment 9	Great Island virus segment 9, complete genome
NC_014531.1	703	Great Island virus segment 10	Great Island virus segment 10, complete genome
NC_014528.1	1181	Great Island virus segment 7	Great Island virus segment 7, complete genome
NC_014527.1	1666	Great Island virus segment 6	Great Island virus segment 6, complete genome
NC_014526.1	1722	Great Island virus segment 5	Great Island virus segment 5, complete genome
NC_014525.1	1731	Great Island virus segment 4	Great Island virus segment 4, complete genome
NC_014522.1	3897	Great Island virus segment 1	Great Island virus segment 1, complete genome
NC_014523.1	2794	Great Island virus segment 2	Great Island virus segment 2, complete genome
NC_014474.1	8126	Simian retrovirus 4 strain SRV4/TEX/2009/V1	Simian retrovirus 4 strain SRV4/TEX/2009/V1, complete genome
NC_014469.1	7181	Gammapapillomavirus HPV127	Gammapapillomavirus HPV127, complete genome
NC_014406.1	4926	Human polyomavirus 6	Human polyomavirus 6, complete genome
NC_014407.1	4952	Human polyomavirus 7	Human polyomavirus 7, complete genome
